distrito;inep;unidade_escolar;creche;pre_escola;1_ano;2_ano;3_ano;4_ano;5_ano;6_ano;7_ano;8_ano;9_ano;eja_ai;eja_af
6;23073535;E.M. MARIA DE JESUS ORIA ALENCAR;131;306;154;137;156;165;165;0;0;0;0;0;0
6;23256591;E.M. MARIA DE LOURDES;95;62;48;35;36;42;61;0;0;0;0;0;0
6;23073543;E.M. MARIA DE LOURDES RIBEIRO JEREISSATI;100;235;70;108;93;128;130;160;149;160;0;0;0
6;23073667;E.M. MARIA HELENILCE CAVALCANTE LEITE MARTINS;120;0;73;62;33;33;64;188;228;220;222;0;118
6;23074078;E.M. MARIETA CALS;169;137;0;0;0;0;0;238;273;256;215;33;76
6;23074124;E.M. MARTHA DOS MARTINS COELHO GUILHERME;148;159;57;26;51;33;66;171;155;179;118;0;0
6;23078677;E.M. MOREIRA DA ROCHA;0;0;24;44;127;136;128;0;0;0;0;36;83
6;23078723;E.M. OTAVIO DE FARIAS;0;0;151;166;167;216;204;0;0;0;0;30;119
6;23074582;E.M. PARQUE SAO MIGUEL;197;231;91;85;28;0;0;0;0;0;0;0;0
6;23065206;E.M. PROF.? ANISIO TEIXEIRA;170;254;129;109;115;123;152;0;0;0;0;0;0
6;23263075;E.M. PROF.? CLODOMIR TEOFILO GIRAO;60;172;88;108;125;132;131;0;0;0;0;0;62
6;23070013;E.M. PROF.? FRANCISCO DE MELO JABORANDI;173;274;162;158;165;163;168;0;0;0;0;0;0
6;23256605;E.M. PROF.? BERNADETE ORIA DE OLIVEIRA;100;163;91;100;81;96;77;0;0;0;0;49;0
6;23068175;E.M. PROF.? EDITH BRAGA;60;163;110;133;128;131;133;0;0;0;0;0;68
6;23070188;E.M. PROF.? FERNANDA MARIA DE ALENCAR COLARES;152;92;45;48;33;65;65;116;180;159;152;0;0
6;23324279;E.M. PROF.? MARIA ANTONEZIA MEIRELES E SA;40;164;0;0;0;0;0;256;390;304;288;0;0
6;23256460;E.M. PROF.? MARIA DO SOCORRO FERREIRA VIRINO;120;221;127;108;132;164;99;0;0;0;0;0;0
6;23255919;E.M. PROF.? MARIA EVAN DO CARMO;78;187;88;78;0;0;0;0;0;0;0;0;0
6;23256540;E.M. PROF.? OLINDINA CARVALHO DE MORAIS;202;286;140;42;0;0;0;0;0;0;0;0;0
6;23323469;E.M. PROF.? RAIMUNDA FELIX DE ALCANTARA;0;0;0;28;68;65;68;120;0;0;0;0;0
6;23078006;E.M. PROF.? TEREZINHA FERREIRA PARENTE;233;90;0;0;0;0;0;221;186;189;358;32;113
6;23233800;E.M. SINO PINHEIRO;55;53;66;177;188;196;207;0;0;0;0;31;78
6;23077794;E.M. TAIS MARIA BEZERRA NOGUEIRA;0;0;0;0;0;0;0;294;272;237;159;60;82
6;23078162;E.M. TRISTAO DE ALENCAR;357;403;43;71;64;83;82;0;0;0;0;0;0
6;23072229;E.M. VEREADOR JOSE BARROS DE ALENCAR;0;0;0;0;0;0;0;173;201;160;164;0;38
6;23078600;E.M. YOLANDA QUEIROZ;133;152;36;48;30;34;58;111;74;115;68;0;0
